@RELATION mirnas_train


@ATTRIBUTE ddG NUMERIC
@ATTRIBUTE gc_content NUMERIC
@ATTRIBUTE dP NUMERIC
@ATTRIBUTE dQ NUMERIC
@ATTRIBUTE ddS NUMERIC
@ATTRIBUTE dMelt NUMERIC
@ATTRIBUTE dGU NUMERIC
@ATTRIBUTE dAU NUMERIC
@ATTRIBUTE dSS NUMERIC
@ATTRIBUTE Fs NUMERIC
@ATTRIBUTE zP NUMERIC
@ATTRIBUTE zG NUMERIC
@ATTRIBUTE zQ NUMERIC
@ATTRIBUTE zD NUMERIC
@ATTRIBUTE zF NUMERIC
@ATTRIBUTE nefe NUMERIC
@ATTRIBUTE freq NUMERIC
@ATTRIBUTE diff NUMERIC
@ATTRIBUTE diversity NUMERIC
@ATTRIBUTE GU_stems NUMERIC
@ATTRIBUTE MFEI1 NUMERIC
@ATTRIBUTE MFEI2 NUMERIC
@ATTRIBUTE MFEI3 NUMERIC
@ATTRIBUTE MFEI4 NUMERIC
@ATTRIBUTE MFEIss NUMERIC
@ATTRIBUTE dPdQ NUMERIC
@ATTRIBUTE MFEI1zG NUMERIC
@ATTRIBUTE dPzG NUMERIC
@ATTRIBUTE class {yes,no}

@DATA
-0.5218181818181818,0.512396694214876,0.35454545454545455,0.014354396315409686,-9.440909090909091,0.3322099181511796,0.2,0.13636363636363635,0.01818181818181818,0.585786,2.7305,-20.8252,-3.1683,-3.2394,0.6038,-0.6145454545454545,320.851123,9.090909090908574E-4,0.44,0.010256410256410256,1.0183870967741937,0.10436363636363637,0.13045454545454546,0.013379953379953381,28.700000000000003,0.005089285966372525,-21.20811496774194,-7.38348,yes
-0.19534883720930232,0.4326663061114116,0.22093023255813954,0.01665215296902497,-5.286046511627907,0.40362598348663276,0.06976744186046512,0.12790697674418605,0.03488372093023256,0.585786,-0.5895,-3.6768,-2.032,-2.1616,-0.1747,-0.22395348837209303,320.248812,0.010000000000000035,7.96,0.02631578947368421,0.45149999999999996,0.04883720930232558,0.06511627906976744,0.010281517747858017,5.6,0.0036789640280404006,-1.6600751999999999,-0.8123162790697674,no
-0.5277310924369748,0.6708565779252879,0.36134453781512604,0.013230671491450878,-10.000840336134454,0.304966957793957,0.3025210084033613,0.04201680672268908,0.04201680672268908,0.381966,1.166,-0.8078,-0.2498,-0.0293,0.0092,-0.6143697478991597,320.0277947,0.01857142857142852,23.9,0.005813953488372093,0.7866526315789473,0.06596638655462185,0.0479755538579068,0.01227281610318546,12.559999999999999,0.004780830875062082,-0.6354579957894736,-0.2918941176470588,yes
-0.22783505154639178,0.5314061005420342,0.27835051546391754,0.015952623671286414,-7.5350515463917525,0.35093014825670377,0.13402061855670103,0.1134020618556701,0.020618556701030927,0.381966,1.8156,-0.322,0.649,0.9891,0.2612,-0.25505154639175254,320.0503613,0.01896907216494845,22.64,0.018518518518518517,0.42874000000000007,0.037972508591065296,0.028479381443298972,0.008438335242458954,11.05,0.004440421021904466,-0.13805428000000003,-0.08962886597938145,no
-0.38850574712643676,0.7002246003435064,0.3103448275862069,0.018140725734335193,-8.424137931034483,0.40948962004193706,0.20689655172413793,0.09195402298850575,0.022988505747126436,0.585786,1.6231,-2.9396,-1.5473,-1.6386,1.7582,-0.45505747126436785,320.234855,0.01022988505747127,4.33,0.006172839506172839,0.5548301886792453,0.06475095785440613,0.0555008210180624,0.014389101745423584,16.9,0.005629880400310922,-1.6309788226415094,-0.9122896551724138,yes
-0.4127272727272727,0.5867768595041323,0.33636363636363636,0.014407662758615457,-9.576363636363638,0.32112466990006383,0.22727272727272727,0.07272727272727272,0.03636363636363636,0.198062,0.8109,-3.2469,-0.7532,-0.8324,0.0093,-0.4788181818181818,320.127586,0.011545454545454574,12.82,0.015444015444015444,0.7033802816901408,0.05896103896103896,0.05159090909090909,0.011154791154791155,11.35,0.004846213836988835,-2.2838054366197182,-1.092139090909091,no
-0.38513513513513514,0.7304601899196494,0.35135135135135137,0.02136033383914992,-9.232432432432432,0.47550477878346736,0.20270270270270271,0.12162162162162163,0.013513513513513514,0.381966,2.8111,-3.8057,-1.5854,-1.3371,0.699,-0.43324324324324326,320.0216011,0.031891891891891934,10.55,0.012820512820512822,0.52725,0.06418918918918919,0.06418918918918919,0.014812889812889814,28.5,0.007504982159701323,-2.006555325,-1.3371378378378378,yes
-0.2225,0.6875000000000001,0.225,0.018034680674847602,-8.91875,0.4188857743517869,0.15,0.075,0.0125,0.585786,-1.2247,0.4632,-1.2412,-1.3393,-0.4398,-0.262875,320.136031,0.015375000000000005,8.66,0.0,0.3236363636363636,0.055625,0.037083333333333336,0.012361111111111111,17.8,0.004057803151840711,0.14990836363636362,0.10422000000000001,no
-0.46,0.7091412742382271,0.3263157894736842,0.01667713081536009,-10.84315789473684,0.37114434469826635,0.23157894736842105,0.06315789473684211,0.010526315789473684,0.381966,0.4564,-1.8521,-0.9632,-1.0508,1.4942,-0.5258947368421053,320.0491494,0.019578947368421046,6.96,0.016129032258064516,0.648671875,0.07666666666666667,0.0575,0.014838709677419355,43.7,0.005442011108170135,-1.2014051796875,-0.6043694736842106,yes
-0.2309090909090909,0.512396694214876,0.2818181818181818,0.014108363405711635,-6.6036363636363635,0.31375150180216255,0.11818181818181818,0.1,0.02727272727272727,0.198062,1.9167,-2.4886,-1.5627,-1.139,0.0784,-0.24327272727272728,320.0416955,0.017818181818181827,16.78,0.03763440860215054,0.4506451612903226,0.03848484848484848,0.03298701298701299,0.007448680351906158,8.466666666666667,0.003975993323427824,-1.1214755483870968,-0.7013327272727272,no
