"comment","length","nefe","mfei1","mfei2","mfei3","mfei4","tot_bases","n_stems","n_loops","dP","dG","diff","gccontent","aa","ac","ag","au","ca","cc","cg","cu","ga","gc","gg","gu","ua","uc","ug","uu"
"random_seq_from_cds__NO_70318",90,-0.378555555555556,-0.541437908496732,-0.121111111111111,-0.181666666666667,-0.363333333333333,90,3,2,1,-0.363333333333333,0.0152222222222222,0.671052631578947,0.0786516853932584,0.0337078651685393,0.101123595505618,0.0561797752808989,0.0561797752808989,0.101123595505618,0.0337078651685393,0.0449438202247191,0.123595505617978,0.0337078651685393,0.123595505617978,0.0561797752808989,0.0112359550561798,0.0674157303370786,0.0786516853932584,0
"random_seq_from_cds__NO_51006",72,-0.237638888888889,-0.350490196078431,-0.0722222222222222,-0.0722222222222222,-0.216666666666667,72,3,3,1,-0.216666666666667,0.0209722222222222,0.618181818181818,0.0704225352112676,0.0704225352112676,0.0845070422535211,0.0704225352112676,0.126760563380282,0.0422535211267606,0,0.0563380281690141,0.0422535211267606,0.0704225352112676,0.0704225352112676,0.0563380281690141,0.0563380281690141,0.0422535211267606,0.0845070422535211,0.0563380281690141
"random_seq_from_cds__NO_56791",77,-0.466233766233766,-0.513109531977456,-0.151082251082251,-0.453246753246753,-0.453246753246753,77,3,1,1,-0.453246753246753,0.012987012987013,0.883333333333333,0,0,0.0657894736842105,0.0131578947368421,0.0263157894736842,0.0789473684210526,0.0526315789473684,0.157894736842105,0.0394736842105263,0.184210526315789,0.144736842105263,0.0131578947368421,0.0263157894736842,0.0526315789473684,0.105263157894737,0.0394736842105263
"random_seq_from_cds__NO_62961",89,-0.414044943820225,-0.479793403407032,-0.0991573033707865,-0.132209737827715,-0.396629213483146,89,4,3,1,-0.396629213483146,0.0174157303370787,0.826666666666667,0.0113636363636364,0.0568181818181818,0.0681818181818182,0.0113636363636364,0.0909090909090909,0.136363636363636,0.0681818181818182,0.125,0.0340909090909091,0.136363636363636,0.0909090909090909,0.0113636363636364,0,0.0909090909090909,0.0568181818181818,0.0113636363636364
"random_seq_from_cds__NO_56799",88,-0.368522727272727,-0.433931818181818,-0.118560606060606,-0.118560606060606,-0.355681818181818,88,3,3,1,-0.355681818181818,0.0128409090909091,0.819672131147541,0.0229885057471264,0,0.0804597701149425,0.0114942528735632,0.0459770114942529,0.0574712643678161,0.0574712643678161,0.0919540229885057,0.0229885057471264,0.0804597701149425,0.103448275862069,0.114942528735632,0.0344827586206897,0.114942528735632,0.0804597701149425,0.0804597701149425
"random_seq_from_cds__NO_23869",86,-0.395697674418605,-0.489106487148103,-0.0753488372093023,-0.0941860465116279,-0.376744186046512,86,5,4,1,-0.376744186046512,0.018953488372093,0.77027027027027,0,0.0941176470588235,0.0823529411764706,0.0235294117647059,0.0705882352941176,0.0941176470588235,0.0352941176470588,0.0823529411764706,0.117647058823529,0.0705882352941176,0.176470588235294,0.0117647058823529,0.0117647058823529,0.0235294117647059,0.0941176470588235,0.0117647058823529
"random_seq_from_cds__NO_23863",81,-0.405555555555556,-0.482695124503034,-0.0975308641975309,-0.195061728395062,-0.390123456790124,81,4,2,1,-0.390123456790124,0.0154320987654321,0.808219178082192,0,0.025,0.125,0.025,0.05,0.0625,0.1625,0,0.1125,0.15,0.1375,0.05,0.0125,0.025,0.0375,0.025
"random_seq_from_cds__NO_19731",78,-0.373333333333333,-0.468376068376068,-0.0702564102564102,-0.0702564102564102,-0.351282051282051,78,5,5,1,-0.351282051282051,0.0220512820512821,0.75,0.038961038961039,0.038961038961039,0.0649350649350649,0.051948051948052,0.0779220779220779,0.0649350649350649,0.025974025974026,0.0779220779220779,0.051948051948052,0.0779220779220779,0.168831168831169,0.038961038961039,0.025974025974026,0.0649350649350649,0.0779220779220779,0.051948051948052
"random_seq_from_cds__NO_37519",71,-0.292253521126761,-0.44169014084507,-0.0460093896713615,-0.0552112676056338,-0.276056338028169,71,6,5,1,-0.276056338028169,0.0161971830985915,0.625,0.1,0.0142857142857143,0.114285714285714,0.0571428571428571,0.0714285714285714,0.0428571428571429,0.0142857142857143,0.0428571428571429,0.128571428571429,0.0571428571428571,0.0857142857142857,0.0571428571428571,0,0.0571428571428571,0.1,0.0571428571428571
"random_seq_from_cds__NO_70303",68,-0.362205882352941,-0.447320261437909,-0.086764705882353,-0.173529411764706,-0.347058823529412,68,4,2,1,-0.347058823529412,0.0151470588235293,0.775862068965517,0,0.0597014925373134,0.0895522388059701,0.0447761194029851,0.0895522388059701,0.0895522388059701,0.0298507462686567,0.0895522388059701,0.104477611940299,0.104477611940299,0.134328358208955,0.0149253731343284,0,0.0447761194029851,0.104477611940299,0
